Text,Label
"As an agency user, I want to have all derived data elements derived properly.",Functional
"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",Functional
"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",Usability
"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",Functional
"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.",Functional
"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.",Functional
"As a user, I don't want to see NASA grants displayed as contracts.",Usability
"As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired.",Functional
"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.",Functional
"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",Functional
"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.",Functional
"As an agency user, I want to use the schema v1.1 headers in my FABS file.",Functional
"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",Functional
"As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.",Usability
"As a FABS user, I want to link the SAMPLE FILE on the 'What you want to submit' dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",Functional
"As an Agency user, I want FPDS data to be up-to-date daily.",Functional
"As a user, I want to access the raw agency published files from FABS via USAspending.",Functional
"As a Developer, I want to determine how agencies will generate and validate D Files from FABS and FPDS data.",Functional
"As a user, I want to generate and validate D Files from FABS and FPDS data.",Functional
"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.",Usability
"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",Usability
"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",Security
"As a FABS user, I want submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",Usability
"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",Usability
"As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live.",Functional
"As a Developer, I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.",Functional
"As an Agency user, I want historical FPDS data loaded.",Functional
"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",Usability
"As an agency user, I want to get File F in the correct format.",Functional
"As an Agency user, I want to better understand my file-level errors.",Usability
"As a Developer, I want to provide FABS groups that function under the FREC paradigm.",Functional
"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",Usability
"As an owner, I only want zero-padded fields, so that I can justify padding.",Functional
"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.",Functional
"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",Usability
"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.",Functional
"As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations.",Functional
"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",Usability
"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",Functional
"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.",Functional
"As a data user, I want to access two additional fields from the FPDS data pull.",Functional
"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",Usability
"As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.",Functional
"As a Developer I want to quickly access Broker application data, so that I can investigate issues.",Functional
"As a Developer, I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.",Functional
"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",Usability
"As a FABS user, I do not want DABS banner messages and vice versa, so that I have the appropriate information for my application.",Usability
"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",Usability
"As a FABS user, I want to have my validations run in a reasonable amount of time.",Performance
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",Usability
"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.",Functional
"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.",Functional
"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.",Functional
"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.",Functional
"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.",Functional
"As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.",Functional
"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.",Functional
"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.",Functional
"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.",Functional
"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.",Functional
"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.",Functional
"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.",Functional
"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.",Functional
"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.",Functional
"As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.",Functional
"As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.",Functional
"As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.",Functional
"As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.",Functional
"As a Staff member, I want to Track the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.",Functional
"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.",Functional
"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.",Functional
"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.",Functional
"As a staff member, I want to denote an application with a Final Action status, so that I can finish it.",Functional
"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).",Functional
"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.",Functional
"As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.",Functional
"As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.",Functional
"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.",Functional
"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.",Functional
"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.",Functional
"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.",Functional
"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.",Functional
"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.",Functional
"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.",Functional
"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.",Functional
"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.",Functional
"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.",Functional
"As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.",Functional
"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met.",Functional
"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.",Functional
"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.",Functional
"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.",Functional
"As an Applicant, I want to Resubmit Plans, so that I can review revised plans.",Functional
"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project.",Functional
"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.",Functional
"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work.",Functional
"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.",Functional
"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",Functional
"As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project.",Functional
"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.",Functional
"As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.",Functional
"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.",Functional
